sample,time,x,y,confidence,handlabeller1,handlabeller2,handlabeller_final,subj_id,stim_id,use_this_saccade,saccade_id,time_sacon,time_sacoff,x_sacon,y_sacon,handlabeller_daccord,dist_sacon,dir_sacon,dataset,pupil_x,pupil_y,time_PSOon,samp_freq,what
1,5784502.044,948.0222,705.8047,NA,1,4,NA,TH34,img_Europe_labelled,TRUE,Nystrom_TH34_img_Europe_labelled_9,-42.0099999997765,-112.029000000097,-0.15129149233695,0.087105492064463,FALSE,0.174575148292457,150.068980443906,Nystrom,20,23,-82.0190000003204,2,FIX
2,5784504.047,948.6993,705.3544,NA,1,4,NA,TH34,img_Europe_labelled,TRUE,Nystrom_TH34_img_Europe_labelled_9,-40.0069999992847,-110.025999999605,-0.129806253665554,0.072816904006969,FALSE,0.148835362061058,150.709053574671,Nystrom,21,23,-80.0159999998286,2,FIX
3,5784506.045,948.5927,705.1389,NA,1,4,NA,TH34,img_Europe_labelled,TRUE,Nystrom_TH34_img_Europe_labelled_9,-38.0089999996126,-108.027999999933,-0.133188806379141,0.065978816673213,FALSE,0.148635333599713,153.647192937123,Nystrom,21,24,-78.0180000001565,2,FIX
4,5784508.056,949.1471,704.1922,NA,1,4,NA,TH34,img_Europe_labelled,TRUE,Nystrom_TH34_img_Europe_labelled_9,-35.9979999996722,-106.016999999993,-0.115596993767383,0.035938829300282,FALSE,0.121054799242042,162.729655400043,Nystrom,20,24,-76.0070000002161,2,FIX
5,5784510.056,949.2418,703.8869,NA,1,4,NA,TH34,img_Europe_labelled,TRUE,Nystrom_TH34_img_Europe_labelled_9,-33.9979999996722,-104.016999999993,-0.112592043092179,0.026251274483598,FALSE,0.115611840136226,166.875727768473,Nystrom,21,24,-74.0070000002161,2,FIX
6,5784512.051,949.2217,703.8252,NA,1,4,NA,TH34,img_Europe_labelled,TRUE,Nystrom_TH34_img_Europe_labelled_9,-32.0029999995604,-102.021999999881,-0.113229841493145,0.024293455511475,FALSE,0.115806601647966,167.890769418873,Nystrom,20,24,-72.0120000001043,2,FIX
7,5784514.052,948.9539,703.0455,NA,1,4,NA,TH34,img_Europe_labelled,TRUE,Nystrom_TH34_img_Europe_labelled_9,-30.0019999993965,-100.020999999717,-0.121727473919967,-0.000447410818592,FALSE,0.121728296149157,180.210590389767,Nystrom,21,24,-70.0109999999404,2,FIX
8,5784516.047,949.8874,703.5983,NA,1,4,NA,TH34,img_Europe_labelled,TRUE,Nystrom_TH34_img_Europe_labelled_9,-28.0069999992847,-98.0259999996051,-0.092106339228271,0.0170936317712,FALSE,0.093679079698526,169.486330224864,Nystrom,21,24,-68.0159999998286,2,FIX
9,5784518.044,951.1107,703.7138,NA,1,4,NA,TH34,img_Europe_labelled,TRUE,Nystrom_TH34_img_Europe_labelled_9,-26.0099999997765,-96.0290000000969,-0.053289484307701,0.020758592731983,FALSE,0.057189931893586,158.716903227722,Nystrom,22,24,-66.0190000003204,2,FIX
10,5784520.053,952.0178,703.0817,NA,1,4,NA,TH34,img_Europe_labelled,TRUE,Nystrom_TH34_img_Europe_labelled_9,-24.0009999992326,-94.019999999553,-0.024506054978468,0.000701260928424,FALSE,0.024516086504527,178.360881430575,Nystrom,20,24,-64.0099999997765,2,FIX
11,5784522.053,952.2777,702.9668,NA,1,4,NA,TH34,img_Europe_labelled,TRUE,Nystrom_TH34_img_Europe_labelled_9,-22.0009999992326,-92.019999999553,-0.016259099535113,-0.002944661274119,FALSE,0.016523599720158,190.265481459836,Nystrom,21,24,-62.0099999997765,2,FIX
12,5784524.053,952.0523,702.4604,NA,1,4,NA,TH34,img_Europe_labelled,TRUE,Nystrom_TH34_img_Europe_labelled_9,-20.0009999992326,-90.019999999553,-0.023411326379793,-0.01901337322685,FALSE,0.030159551792504,219.081577710467,Nystrom,21,24,-60.0099999997765,2,FIX
13,5784526.053,951.5434,701.9993,NA,1,4,NA,TH34,img_Europe_labelled,TRUE,Nystrom_TH34_img_Europe_labelled_9,-18.0009999992326,-88.019999999553,-0.039559366491847,-0.033644658932629,FALSE,0.051931748978146,220.380674688511,Nystrom,21,24,-58.0099999997765,2,FIX
14,5784528.054,951.4952,701.6402,NA,1,4,NA,TH34,img_Europe_labelled,TRUE,Nystrom_TH34_img_Europe_labelled_9,-16,-86.0190000003204,-0.041088813403622,-0.045039355737969,FALSE,0.060965844144152,227.626212385632,Nystrom,21,24,-56.0090000005439,2,FIX
15,5784530.054,952.0411,701.5263,NA,1,4,NA,TH34,img_Europe_labelled,TRUE,Nystrom_TH34_img_Europe_labelled_9,-14,-84.0190000003204,-0.023766716533564,-0.048653546676787,FALSE,0.054148170966497,243.965005253519,Nystrom,20,24,-54.0090000005439,2,FIX
16,5784532.055,951.284,701.504,NA,1,4,NA,TH34,img_Europe_labelled,TRUE,Nystrom_TH34_img_Europe_labelled_9,-11.9989999998361,-82.0180000001565,-0.047790456303338,-0.049361153857959,FALSE,0.068705539979468,225.926248167311,Nystrom,21,24,-52.00800000038,2,FIX
17,5784534.055,951.6064,702.2362,NA,1,4,NA,TH34,img_Europe_labelled,TRUE,Nystrom_TH34_img_Europe_labelled_9,-9.99899999983609,-80.0180000001565,-0.037560296876875,-0.026127522555054,FALSE,0.04575394339665,214.823070927039,Nystrom,20,24,-50.00800000038,2,FIX
18,5784536.055,951.3472,703.1103,NA,1,4,NA,TH34,img_Europe_labelled,TRUE,Nystrom_TH34_img_Europe_labelled_9,-7.99899999983609,-78.0180000001565,-0.045785040435618,0.001608775071097,FALSE,0.045813295940377,177.987593459476,Nystrom,20,24,-48.00800000038,2,FIX
19,5784538.053,952.1942,702.8859,NA,1,4,NA,TH34,img_Europe_labelled,TRUE,Nystrom_TH34_img_Europe_labelled_9,-6.00099999923259,-76.019999999553,-0.018908660056543,-0.005511720509855,FALSE,0.019695595652649,196.250973875544,Nystrom,20,24,-46.0099999997765,2,FIX
20,5784540.054,952.9366,702.8737,NA,1,4,NA,TH34,img_Europe_labelled,TRUE,Nystrom_TH34_img_Europe_labelled_9,-4,-74.0190000003204,0.004648630136403,-0.005898841927357,FALSE,0.007510399338852,308.240163397326,Nystrom,20,24,-44.0090000005439,2,FIX
21,5784542.054,953.4694,702.8272,NA,1,4,NA,TH34,img_Europe_labelled,TRUE,Nystrom_TH34_img_Europe_labelled_9,-2,-72.0190000003204,0.021555047451598,-0.007374345690791,FALSE,0.022781594435156,341.11331651541,Nystrom,20,24,-42.0090000005439,2,FIX
22,5784544.054,952.7901,703.0596,NA,2,4,NA,TH34,img_Europe_labelled,TRUE,Nystrom_TH34_img_Europe_labelled_9,0,-70.0190000003204,0,0,FALSE,0,0,Nystrom,20,24,-40.0090000005439,2,SAC
23,5784546.054,951.8779,703.9027,NA,2,4,NA,TH34,img_Europe_labelled,TRUE,Nystrom_TH34_img_Europe_labelled_9,2,-68.0190000003204,-0.028945258774257,0.026752628450528,FALSE,0.039414859311187,137.254369667821,Nystrom,21,24,-38.0090000005439,2,SAC
